Fecha,TIIE
30/04/2014,3.7950
02/05/2014,3.7905
05/05/2014,3.8000
06/05/2014,3.8050
07/05/2014,3.7980
08/05/2014,3.8010
09/05/2014,3.8149
12/05/2014,3.7987
13/05/2014,3.7935
14/05/2014,3.8090
15/05/2014,3.8171
16/05/2014,3.8075
19/05/2014,3.8084
20/05/2014,3.7948
21/05/2014,3.8000
22/05/2014,3.8085
23/05/2014,3.8072
26/05/2014,3.8160
27/05/2014,3.7915
28/05/2014,3.8085
29/05/2014,3.7968
30/05/2014,3.7858
02/06/2014,3.7785
03/06/2014,3.8043
04/06/2014,3.8085
05/06/2014,3.8095
06/06/2014,3.8085
09/06/2014,3.3250
10/06/2014,3.3220
11/06/2014,3.3160
12/06/2014,3.3093
13/06/2014,3.3091
16/06/2014,3.3118
17/06/2014,3.3075
18/06/2014,3.3095
19/06/2014,3.3100
20/06/2014,3.3100
23/06/2014,3.3184
24/06/2014,3.3100
25/06/2014,3.3075
26/06/2014,3.3125
27/06/2014,3.3087
30/06/2014,3.3050
01/07/2014,3.3075
02/07/2014,3.3077
03/07/2014,3.3125
04/07/2014,3.3068
07/07/2014,3.3008
08/07/2014,3.2960
09/07/2014,3.2919
10/07/2014,3.2945
11/07/2014,3.2940
14/07/2014,3.3074
15/07/2014,3.3095
16/07/2014,3.2972
17/07/2014,3.2970
18/07/2014,3.2932
21/07/2014,3.2821
22/07/2014,3.2891
23/07/2014,3.2850
24/07/2014,3.2875
25/07/2014,3.2936
28/07/2014,3.2910
29/07/2014,3.2886
30/07/2014,3.3023
31/07/2014,3.3075
01/08/2014,3.3100
04/08/2014,3.3000
05/08/2014,3.3125
06/08/2014,3.2965
07/08/2014,3.2970
08/08/2014,3.2935
11/08/2014,3.2980
12/08/2014,3.2972
13/08/2014,3.3010
14/08/2014,3.2941
15/08/2014,3.3025
18/08/2014,3.2983
19/08/2014,3.2925
20/08/2014,3.2864
21/08/2014,3.3025
22/08/2014,3.3025
25/08/2014,3.2975
26/08/2014,3.3025
27/08/2014,3.2925
28/08/2014,3.2951
29/08/2014,3.2975
01/09/2014,3.2860
02/09/2014,3.2910
03/09/2014,3.2910
04/09/2014,3.2950
05/09/2014,3.2826
08/09/2014,3.2925
09/09/2014,3.2925
10/09/2014,3.2926
11/09/2014,3.2818
12/09/2014,3.2930
15/09/2014,3.2926
17/09/2014,3.3065
18/09/2014,3.2900
19/09/2014,3.2975
22/09/2014,3.2975
23/09/2014,3.2865
24/09/2014,3.2820
25/09/2014,3.2825
26/09/2014,3.2768
29/09/2014,3.2741
30/09/2014,3.2916
01/10/2014,3.2793
02/10/2014,3.2896
03/10/2014,3.3000
06/10/2014,3.2950
07/10/2014,3.2950
